zip,city,state,county,latitude,longitude,10_year_price,5_year_price,current_price,10_year_growth,5_year_growth
33544,Wesley Chapel,FL,Pasco,28.2397,-82.3279,"176,993.00","249,074.00","360,513.00",1.04,0.45
33545,Wesley Chapel,FL,Pasco,28.2697,-82.2903,"130,073.00","204,398.00","314,339.00",1.42,0.54
33414,Wellington,FL,Palm Beach,26.6587,-80.2414,"232,781.00","350,900.00","474,736.00",1.04,0.35
33449,Lake Worth,FL,Palm Beach,26.6048,-80.2149,"324,336.00","434,487.00","545,106.00",0.68,0.25
32094,Wellborn,FL,Suwannee,30.1796,-82.8505,"77,677.00","121,049.00","165,737.00",1.13,0.37
32193,Welaka,FL,Putnam,29.4905,-81.653,"109,274.00","132,027.00","202,316.00",0.85,0.53
32133,Eastlake Weir,FL,Marion,29.0088,-81.9094,"88,288.00","101,123.00","141,747.00",0.61,0.40
32195,Weirsdale,FL,Marion,28.9782,-81.8932,"155,973.00","175,612.00","263,851.00",0.69,0.50
32833,Orlando,FL,Orange,28.5088,-81.0703,"165,652.00","258,627.00","367,373.00",1.22,0.42
33597,Webster,FL,Sumter,28.549,-82.0805,"107,605.00","119,372.00","212,255.00",0.97,0.78
33873,Wauchula,FL,Hardee,27.5517,-81.8074,"72,595.00","105,491.00","136,194.00",0.88,0.29
32694,Waldo,FL,Alachua,29.7871,-82.1608,"107,817.00","115,445.00","182,937.00",0.70,0.58
33157,Miami,FL,Miami-Dade,25.6062,-80.3426,"174,632.00","284,943.00","418,927.00",1.40,0.47
33158,Miami,FL,Miami-Dade,25.6364,-80.3187,"485,298.00","689,247.00","791,904.00",0.63,0.15
32960,Vero Beach,FL,Indian River,27.633,-80.4031,"90,605.00","139,484.00","213,399.00",1.36,0.53
32962,Vero Beach,FL,Indian River,27.5885,-80.3923,"83,307.00","127,676.00","199,836.00",1.40,0.57
32963,Vero Beach,FL,Indian River,27.6898,-80.3757,"463,646.00","607,866.00","749,999.00",0.62,0.23
32966,Vero Beach,FL,Indian River,27.6372,-80.4794,"124,857.00","185,852.00","260,601.00",1.09,0.40
32967,Vero Beach,FL,Indian River,27.6972,-80.4416,"142,554.00","211,628.00","296,277.00",1.08,0.40
32968,Vero Beach,FL,Indian River,27.5999,-80.4382,"159,468.00","230,879.00","324,503.00",1.03,0.41
32462,Vernon,FL,Washington,30.6267,-85.7553,"56,662.00","78,391.00","110,257.00",0.95,0.41
33960,Venus,FL,Highlands,27.1203,-81.3909,"123,781.00","155,733.00","251,068.00",1.03,0.61
34291,North Port,FL,Sarasota,27.0997,-82.2095,"193,524.00","273,264.00","358,966.00",0.85,0.31
34423,Crystal River,FL,Citrus,28.867,-82.5727,"216,195.00","292,705.00","378,270.00",0.75,0.29
34428,Crystal River,FL,Citrus,28.9584,-82.5993,"157,049.00","234,082.00","324,395.00",1.07,0.39
33594,Valrico,FL,Hillsborough,27.9408,-82.242,"132,575.00","193,305.00","301,524.00",1.27,0.56
33596,Valrico,FL,Hillsborough,27.8925,-82.243,"189,247.00","259,958.00","379,215.00",1.00,0.46
32580,Valparaiso,FL,Okaloosa,30.5092,-86.5009,"142,862.00","168,920.00","276,596.00",0.94,0.64
33165,Miami,FL,Miami-Dade,25.7343,-80.3588,"205,073.00","335,829.00","465,451.00",1.27,0.39
32784,Umatilla,FL,Lake,28.9254,-81.6801,"100,294.00","126,227.00","209,078.00",1.08,0.66
32628,Cross City,FL,Dixie,29.6372,-83.2032,"39,717.00","65,522.00","84,558.00",1.13,0.29
32693,Trenton,FL,Gilchrist,29.6133,-82.8176,"88,444.00","126,418.00","164,732.00",0.86,0.30
33615,Tampa,FL,Hillsborough,28.0081,-82.5805,"106,202.00","168,124.00","286,646.00",1.70,0.71
33634,Tampa,FL,Hillsborough,28.0068,-82.556,"103,819.00","169,672.00","292,473.00",1.82,0.72
33635,Tampa,FL,Hillsborough,28.0301,-82.6048,"172,379.00","250,577.00","366,737.00",1.13,0.46
32780,Titusville,FL,Brevard,28.5697,-80.8191,"86,806.00","131,799.00","222,122.00",1.56,0.69
32796,Titusville,FL,Brevard,28.6271,-80.8429,"80,666.00","124,327.00","215,399.00",1.67,0.73
33592,Thonotosassa,FL,Hillsborough,28.0617,-82.3082,"150,207.00","192,693.00","309,463.00",1.06,0.61
32159,Lady Lake,FL,Lake,28.9299,-81.9256,"159,381.00","205,184.00","260,261.00",0.63,0.27
32162,The Villages,FL,Sumter,28.9341,-81.9599,"196,329.00","248,738.00","306,504.00",0.56,0.23
32163,The Villages,FL,Sumter,28.9338,-81.9914,"265,056.00","286,549.00","384,749.00",0.45,0.34
33196,Miami,FL,Miami-Dade,25.6615,-80.441,"195,333.00","308,650.00","412,434.00",1.11,0.34
33186,Miami,FL,Miami-Dade,25.6694,-80.4085,"174,815.00","281,653.00","378,337.00",1.16,0.34
34286,North Port,FL,Sarasota,27.0748,-82.1756,"295,780.00","420,295.00","628,158.00",1.12,0.49
33469,Jupiter,FL,Palm Beach,26.9831,-80.108,"245,638.00","367,710.00","522,794.00",1.13,0.42
33617,Tampa,FL,Hillsborough,28.0384,-82.3949,"91,621.00","136,638.00","241,755.00",1.64,0.77
33637,Tampa,FL,Hillsborough,28.0338,-82.3659,"90,770.00","143,382.00","237,482.00",1.62,0.66
33070,Tavernier,FL,Monroe,25.0108,-80.5218,462759,"539,434.00","685,843.00",0.48,0.27
32778,Tavares,FL,Lake,28.801,-81.734,"120,930.00","163,105.00","252,270.00",1.09,0.55
